pig_id,total_intake_kg,weeks_recorded,bodyw_start,bodyw_end,bodyw_diff,FCR
222000945551,261.94,15,20,99.0,79.0,3.316
222000945557,249.7,16,20,94.0,74.0,3.374
222000945559,238.47,15,17,92.0,75.0,3.18
222000945561,220.69,15,19,86.0,67.0,3.294
222000945562,263.29,15,21,92.0,71.0,3.708
222000945567,291.1,15,22,110.0,88.0,3.308
222000945570,286.09,15,21,96.0,75.0,3.815
222000945574,271.44,15,20,99.0,79.0,3.436
222000945575,306.01,15,24,107.0,83.0,3.687
222000945577,277.24,15,22,107.0,85.0,3.262
222000945578,242.82,15,16,90.0,74.0,3.281
222000945584,285.02,15,19,102.0,83.0,3.434
222000945585,260.21,13,20,111.0,91.0,2.859
222000945587,231.79,13,24,111.0,87.0,2.664
222000945593,258.08,15,20,96.0,76.0,3.396
222000945595,278.09,15,23,100.0,77.0,3.612
222000945652,256.07,16,24,100.0,76.0,3.369
222000945653,245.95,13,25,112.0,87.0,2.827
222000945655,260.82,15,27,99.0,72.0,3.622
222000945659,297.26,15,25,109.0,84.0,3.539
222000945661,244.0,13,31,111.0,80.0,3.05
222000945662,274.87,15,20,102.0,82.0,3.352
222000945664,264.78,15,25,105.0,80.0,3.31
222000945665,272.02,13,32,123.0,91.0,2.989
222000945666,260.0,13,26,118.0,92.0,2.826
222000945667,279.39,16,23,105.0,82.0,3.407
222000945668,279.05,15,29,109.0,80.0,3.488
222000945669,265.69,13,32,125.0,93.0,2.857
222000945670,243.63,13,32,122.0,90.0,2.707
222000945671,230.08,13,33,115.0,82.0,2.806
222000945672,275.3,15,27,105.0,78.0,3.529
222000945673,244.92,15,24,101.0,77.0,3.181
222000945675,265.14,15,24,105.0,81.0,3.273
222000945676,272.35,15,22,104.0,82.0,3.321
222000945677,257.25,15,22,94.0,72.0,3.573
222000945678,295.46,15,23,103.0,80.0,3.693
222000945680,262.84,15,21,105.0,84.0,3.129
222000945681,246.36,16,20,94.0,74.0,3.329
222000945683,240.77,15,19,89.0,70.0,3.44
222000945685,258.58,15,24,104.0,80.0,3.232
222000945687,261.99,15,17,100.0,83.0,3.157
222000945688,270.94,15,21,97.0,76.0,3.565
222000945691,268.77,15,21,98.0,77.0,3.491
222000945692,279.72,15,24,98.0,74.0,3.78
222000945693,246.64,13,23,117.0,94.0,2.624
222000945694,232.07,16,24,96.0,72.0,3.223
222000945695,277.52,15,17,101.0,84.0,3.304
222000945697,246.44,16,24,94.0,70.0,3.521
222000945698,280.45,15,25,105.0,80.0,3.506
222000945700,276.82,15,17,95.0,78.0,3.549
222000945701,233.81,15,22,97.0,75.0,3.117
222000945704,242.83,15,24,100.0,76.0,3.195
222000945705,254.02,13,30,118.0,88.0,2.887
222000945707,278.49,15,29,108.0,79.0,3.525
222000945708,265.36,16,24,96.0,72.0,3.686
222000945709,302.37,15,20,103.0,83.0,3.643
222000945710,232.04,13,25,114.0,89.0,2.607
222000945712,246.29,13,32,112.0,80.0,3.079
222000945715,232.29,13,32,105.0,73.0,3.182
222000945718,222.18,13,30,116.0,86.0,2.583
222000945719,296.61,15,25,109.0,84.0,3.531
222000945721,227.52,13,25,112.0,87.0,2.615
222000945722,243.3,13,28,118.0,90.0,2.703
222000945723,253.29,13,25,110.0,85.0,2.98
222000945724,260.42,13,28,118.0,90.0,2.894
222000945725,259.01,13,26,115.0,89.0,2.91
222000945726,260.2,13,27,116.0,89.0,2.924
222000945727,327.91,15,25,113.0,88.0,3.726
222000945728,311.7,15,25,108.0,83.0,3.755
222000945729,268.57,15,25,104.0,79.0,3.4
222000945735,241.77,13,26,111.0,85.0,2.844
222000945736,249.37,13,33,120.0,87.0,2.866
222000945737,261.84,13,31,118.0,87.0,3.01
222000945739,267.0,15,20,100.0,80.0,3.338
222000945741,222.32,13,31,112.0,81.0,2.745
222000945745,288.47,15,19,100.0,81.0,3.561
222000945747,249.34,15,27,100.0,73.0,3.416
222000945750,234.79,15,23,86.0,63.0,3.727
222000945751,299.75,13,34,126.0,92.0,3.258
222000945752,270.49,16,27,106.0,79.0,3.424
222000945754,253.77,16,26,105.0,79.0,3.212
222000945755,239.53,13,29,118.0,89.0,2.691
222000945756,281.11,13,30,124.0,94.0,2.991
222000945757,304.27,15,27,109.0,82.0,3.711
222000945759,267.23,13,31,121.0,90.0,2.969
222000945761,270.24,15,21,103.0,82.0,3.296
222000945764,223.3,13,22,115.0,93.0,2.401
222000945765,292.8,15,17,96.0,79.0,3.706
222000945769,234.85,13,23,111.0,88.0,2.669
222000945770,278.0,13,30,130.0,100.0,2.78
222000945773,268.88,15,25,103.0,78.0,3.447
222000945774,253.79,13,28,113.0,85.0,2.986
222000945775,246.62,16,25,99.0,74.0,3.333
222000945776,299.68,15,31,105.0,74.0,4.05
222000945777,243.63,13,23,117.0,94.0,2.592
222000945778,272.72,15,22,100.0,78.0,3.496
222000945781,291.8,15,23,102.0,79.0,3.694
222000945783,258.1,15,30,102.0,72.0,3.585
222000945783,258.1,15,30,102.0,72.0,3.585
222000945785,219.24,13,28,114.0,86.0,2.549
222000945787,242.8,13,27,117.0,90.0,2.698
222000945789,299.96,15,27,101.0,74.0,4.054
222000945790,261.97,15,24,100.0,76.0,3.447
222000945792,305.8,15,23,108.0,85.0,3.598
222000945793,269.82,15,30,107.0,77.0,3.504
222000945797,271.87,15,21,100.0,79.0,3.441
222000945798,290.79,15,25,103.0,78.0,3.728
